Quantity,Value,Footprint,Reference
1,1uF/6.3V/10%/X5R/C0402,C_0402_5MIL_DWS,C3
2,10uF/6.3V/20%/X5R/C0402,C_0402_5MIL_DWS,"C6, C7"
1,LED/Green/0603,LED_0603_KA,LED1
1,LED/Red/0603,LED_0603_KA,LED2
2,5.1k/1%/R0402,R_0402_5MIL_DWS,"R1, R2"
1,10k/R0402,R_0402_5MIL_DWS,R3
2,33R/R0402,R_0402_5MIL_DWS,"R4, R5"
2,2.2k/R0402,R_0402_5MIL_DWS,"R6, R7"
2,GG0402052R542P,D_0402_5MIL_DWS,"TVS1, TVS2"
1,ESP32-C5-WROOM-1-N8R4,ESP32-C5-WROOM-1-N**4-UNIVERSAL_MODULE,U1
1,FK-DK-2X05-LF(IDC-10S_PCB),FK-DK-2X05-LF(IDC-10S_PCB)-SMD,UEXT1
1,USB-C-16P-F(A40-00119-A52-12),USB2.0_TYPE-C(A40-00119-A52-12)_Paste,USB-PGM1
1,WL9005P3-33(SOT89-3),SOT89-3,VR1
